destination_id,field_name,source,source_type,source_url,source_date,verification_status,confidence
BV-ASI-0018,name; destination_type,CPM List 2024_(3698).pdf,Official ASI PDF,Not Available,2024 label; PDF metadata created 2025-04-08,UNVERIFIED,NOT_AVAILABLE
BV-ASI-0018,domestic_visitors; international_visitors; visitor_count,asi_monuments_clean.csv,Processed CSV,Not Available,2019-20 visitor fields,UNVERIFIED,MEDIUM
BV-ASI-0018,city; state; latitude; longitude; heritage_category; tourism_popularity,bharatverse_monuments.csv,Processed CSV,Not Available,Not Available,UNVERIFIED,LOW
BV-ASI-0018,women_safety_score; accessibility_score; hidden_gem_score,Not Available,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0019,name; destination_type,CPM List 2024_(3698).pdf,Official ASI PDF,Not Available,2024 label; PDF metadata created 2025-04-08,UNVERIFIED,NOT_AVAILABLE
BV-ASI-0019,domestic_visitors; international_visitors; visitor_count,asi_monuments_clean.csv,Processed CSV,Not Available,2019-20 visitor fields,UNVERIFIED,MEDIUM
BV-ASI-0019,city; state; latitude; longitude; heritage_category; tourism_popularity,bharatverse_monuments.csv,Processed CSV,Not Available,Not Available,UNVERIFIED,LOW
BV-ASI-0019,women_safety_score; accessibility_score; hidden_gem_score,Not Available,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0020,name; destination_type,CPM List 2024_(3698).pdf,Official ASI PDF,Not Available,2024 label; PDF metadata created 2025-04-08,UNVERIFIED,NOT_AVAILABLE
BV-ASI-0020,domestic_visitors; international_visitors; visitor_count,asi_monuments_clean.csv,Processed CSV,Not Available,2019-20 visitor fields,UNVERIFIED,MEDIUM
BV-ASI-0020,city; state; latitude; longitude; heritage_category; tourism_popularity,bharatverse_monuments.csv,Processed CSV,Not Available,Not Available,UNVERIFIED,LOW
BV-ASI-0020,women_safety_score; accessibility_score; hidden_gem_score,Not Available,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0021,name; destination_type,CPM List 2024_(3698).pdf,Official ASI PDF,Not Available,2024 label; PDF metadata created 2025-04-08,UNVERIFIED,NOT_AVAILABLE
BV-ASI-0021,domestic_visitors; international_visitors; visitor_count,asi_monuments_clean.csv,Processed CSV,Not Available,2019-20 visitor fields,UNVERIFIED,MEDIUM
BV-ASI-0021,city; state; latitude; longitude; heritage_category; tourism_popularity,bharatverse_monuments.csv,Processed CSV,Not Available,Not Available,UNVERIFIED,LOW
BV-ASI-0021,women_safety_score; accessibility_score; hidden_gem_score,Not Available,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0022,name; destination_type,CPM List 2024_(3698).pdf,Official ASI PDF,Not Available,2024 label; PDF metadata created 2025-04-08,UNVERIFIED,NOT_AVAILABLE
BV-ASI-0022,domestic_visitors; international_visitors; visitor_count,asi_monuments_clean.csv,Processed CSV,Not Available,2019-20 visitor fields,UNVERIFIED,MEDIUM
BV-ASI-0022,city; state; latitude; longitude; heritage_category; tourism_popularity,bharatverse_monuments.csv,Processed CSV,Not Available,Not Available,UNVERIFIED,LOW
BV-ASI-0022,women_safety_score; accessibility_score; hidden_gem_score,Not Available,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0023,name; destination_type,CPM List 2024_(3698).pdf,Official ASI PDF,Not Available,2024 label; PDF metadata created 2025-04-08,VERIFIED,HIGH
BV-ASI-0023,domestic_visitors; international_visitors; visitor_count,asi_monuments_clean.csv,Processed CSV,Not Available,2019-20 visitor fields,UNVERIFIED,MEDIUM
BV-ASI-0023,city; state; latitude; longitude; heritage_category; tourism_popularity,bharatverse_monuments.csv,Processed CSV,Not Available,Not Available,UNVERIFIED,LOW
