destination_id,name,alternative_names,city,district,state,country,latitude,longitude,destination_type,heritage_category,description,historical_significance,cultural_significance,best_time_to_visit,recommended_duration,estimated_budget,budget_category,crowd_level,hidden_gem_score,tourism_popularity,visitor_count,domestic_visitors,international_visitors,accessibility_score,senior_friendly,wheelchair_accessible,walking_difficulty,public_transport_available,nearest_transport,nearest_hospital,nearest_police_station,network_availability,lighting_condition,women_safety_score,women_safety_notes,emergency_support,nearby_safe_stay,sanitary_facilities,local_artisan_presence,local_crafts,local_food,cultural_experiences,responsible_tourism_notes,source,source_url,source_year,data_confidence
BV-ASI-0021,"Bekal Fort, Pallikkare, Distt. Kasargod",NULL,Kasaragod,Not Available,Kerala,India,12.3958,75.0329,Monument/Site (unverified against supplied CPM PDF),Fort,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Very High,335574,334846,728,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0022,Bellary Fort,NULL,Ballari,Not Available,Karnataka,India,15.1394,76.9214,Monument/Site (unverified against supplied CPM PDF),Fort,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Medium,28779,28723,56,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0023,Bir Singh Palace Datia,NULL,Datia,Not Available,Madhya Pradesh,India,25.6654,78.4606,Centrally Protected Monument/Site,Palace,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Low,24118,23382,736,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0024,Bishnudol,NULL,Sivasagar,Not Available,Assam,India,26.9833,94.6333,Centrally Protected Monument/Site,Temple,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Low,21180,21062,118,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0025,Bishnupur Temples,NULL,Bishnupur,Not Available,West Bengal,India,23.0745,87.3119,Monument/Site (unverified against supplied CPM PDF),Temple,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,High,155491,154986,505,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0026,"Buddhish Caves, Junagadh",NULL,Junagadh,Not Available,Gujarat,India,21.5175,70.465,Monument/Site (unverified against supplied CPM PDF),Cave Monument,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Low,19551,18755,796,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0027,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",NULL,Dhamnar,Not Available,Madhya Pradesh,India,24.1667,75.35,Monument/Site (unverified against supplied CPM PDF),Cave Monument,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Medium,32582,32578,4,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0028,Buddhist Caves,NULL,Bagh,Not Available,Madhya Pradesh,India,22.3667,74.75,Centrally Protected Monument/Site,Cave Monument,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Low,19962,19920,42,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0029,Buddhist Caves Kanheri,NULL,Mumbai,Not Available,Maharashtra,India,19.2147,72.9106,Monument/Site (unverified against supplied CPM PDF),Cave Monument,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Very High,413914,401808,12106,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
BV-ASI-0030,"Buddhist Monuments, Sanchi",NULL,Sanchi,Not Available,Madhya Pradesh,India,23.4793,77.7398,Centrally Protected Monument/Site,UNESCO World Heritage Site,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,High,254692,250706,3986,NULL,NULL,NULL,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,NULL,Not Available,Not Available,Not Available,Not Available,"CPM List 2024_(3698).pdf (ASI official list); asi_monuments_clean.csv (processed visitor data, source metadata not supplied); bharatverse_monuments.csv (processed enrichment, source metadata not supplied)",Not Available,2024,MEDIUM
