destination_id,destination_name,senior_friendly,wheelchair_accessible,walking_difficulty,stairs_present,accessible_toilets,seating_available,parking_available,accessible_transport,accessibility_notes,accessibility_source,accessibility_source_url,accessibility_year,accessibility_confidence
BV-ASI-0039,Chittaurgarh Fort,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0040,Cooch Bihar Palace,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0041,Dariya Daulath Bagh,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0042,Daulatabad Fort,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0043,Deeg Bhawan,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0044,Durga temple complex Aihole,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0045,Elephanta Caves,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0046,Ellora Caves,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0047,Excavated Remains at Nalanda,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0048,Excavated Remains at sarnath,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
