circle,monument_name,domestic_2019_20,foreign_2019_20,domestic_2020_21,foreign_2020_21,domestic_growth_pct,foreign_growth_pct,total_visitors_2019_20,total_visitors_2020_21,total_growth_pct,monument_hiddenness_score,visitor_data_quality,hiddenness_rank,tourism_hiddenness_score,unesco_match,unesco_match_flag,unesco_significance_score,asi_protection_score,visitor_trend_score,hidden_heritage_score_v2,hidden_heritage_rank,heritage_signal,recommendation_reason,ml_hidden_heritage_prediction,ml_rank,asi_name,matched_poi_name,match_type,match_confidence,latitude,longitude,poi_characteristics,poi_source,has_geo_match,high_confidence_geo_match
Bhopal,"Badal Mahal Gatwway, Chanderi",13708,89,9689,5,-29.32,-94.38,13797,9694,-29.738348916431107,71.44,available,14,71.44,,0,0.0,100.0,60.0,57.29,27,ASI protected,High heritage protection with comparatively low visitor demand,57.46,28,"Badal Mahal Gatwway, Chanderi",,unmatched,0.0,,,,,False,False
Jhansi,Rani Lakshmi Bai Mahal,15954,50,5712,5,-64.2,-90.0,16004,5717,-64.27768057985503,70.13,available,15,70.13,,0,0.0,100.0,60.0,56.57,28,ASI protected,High heritage protection with comparatively low visitor demand,56.32,29,Rani Lakshmi Bai Mahal,,unmatched,0.0,,,,,False,False
Bhubaneswar,Rajarani Temple,16916,506,8237,3,-51.31,-99.41,17422,8240,-52.70347836069338,69.39,available,16,69.39,,0,0.0,100.0,60.0,56.16,29,ASI protected,High heritage protection with comparatively low visitor demand,55.86,30,Rajarani Temple,,unmatched,0.0,,,,,False,False
Sarnath,Lord Cornwallis Tomb,18318,85,5289,9,-71.13,-89.41,18403,5298,-71.21121556268,68.9,available,17,68.9,,0,0.0,100.0,60.0,55.9,30,ASI protected,High heritage protection with comparatively low visitor demand,55.75,31,Lord Cornwallis Tomb,,unmatched,0.0,,,,,False,False
Tiruchirappalli,"Moovarkoil, Kodumbalur",19114,46,1476,9,-92.28,-80.43,19160,1485,-92.24947807933194,68.55,available,18,68.55,,0,0.0,100.0,60.0,55.7,31,ASI protected,High heritage protection with comparatively low visitor demand,55.61,32,"Moovarkoil, Kodumbalur",,unmatched,0.0,,,,,False,False
Rajkot,"Buddhish Caves, Junagadh",18755,796,58,0,-99.69,-100.0,19551,58,-99.70333998260958,68.37,available,19,68.37,,0,0.0,100.0,60.0,55.6,32,ASI protected,High heritage protection with comparatively low visitor demand,55.47,33,"Buddhish Caves, Junagadh",,unmatched,0.0,,,,,False,False
Amaravati,Nagarjuna Kunda,19762,35,0,0,,,19797,0,-100.0,68.26,available,20,68.26,,0,0.0,100.0,60.0,55.54,33,ASI protected,High heritage protection with comparatively low visitor demand,55.38,34,Nagarjuna Kunda,,unmatched,0.0,,,,,False,False
Guwahati,Bishnudol,21062,118,2921,0,-86.13,-100.0,21180,2921,-86.20868744098206,67.67,available,22,67.67,,0,0.0,100.0,60.0,55.22,34,ASI protected,High heritage protection with comparatively low visitor demand,55.02,36,Bishnudol,,unmatched,0.0,,,,,False,False
Amaravati,"Buddhist Remains on hill top at Guntupalli, W.G.District",22353,85,10219,10,-54.28,-88.24,22438,10229,-54.41215794634103,67.16,available,23,67.16,,0,0.0,100.0,60.0,54.94,35,ASI protected,High heritage protection with comparatively low visitor demand,54.85,37,"Buddhist Remains on hill top at Guntupalli, W.G.District",,unmatched,0.0,,,,,False,False
Agra,Mariam tomb Sikandra,22517,414,9765,31,-56.63,-92.51,22931,9796,-57.28053726396581,66.97,available,24,66.97,,0,0.0,100.0,60.0,54.83,36,ASI protected,High heritage protection with comparatively low visitor demand,54.83,38,Mariam tomb Sikandra,,unmatched,0.0,,,,,False,False
Guwahati,"Group of four MaidansCharaideo, Sibasagar",23111,141,19866,72,-14.04,-48.94,23252,19938,-14.252537416136246,66.85,available,25,66.85,,0,0.0,100.0,60.0,54.77,37,ASI protected,High heritage protection with comparatively low visitor demand,54.77,39,"Group of four MaidansCharaideo, Sibasagar",,unmatched,0.0,,,,,False,False
Jabalpur,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",23354,18,16546,8,-29.15,-55.56,23372,16554,-29.17165839466028,66.8,available,26,66.8,,0,0.0,100.0,60.0,54.74,38,ASI protected,High heritage protection with comparatively low visitor demand,54.77,39,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",,unmatched,0.0,,,,,False,False
Bhopal,Bir Singh Palace Datia,23382,736,14045,12,-39.93,-98.37,24118,14057,-41.7157309893026,66.53,available,27,66.53,,0,0.0,100.0,60.0,54.59,39,ASI protected,High heritage protection with comparatively low visitor demand,54.6,41,Bir Singh Palace Datia,,unmatched,0.0,,,,,False,False
Bhopal,Buddhist Caves,19920,42,23692,0,18.94,-100.0,19962,23692,18.68550245466386,68.19,available,21,68.19,,0,0.0,100.0,40.0,54.5,40,ASI protected,High heritage protection with comparatively low visitor demand,55.05,35,Buddhist Caves,,unmatched,0.0,,,,,False,False
Tiruchirappalli,"Natural Caven with inscription eladipattam, Sittannavasal",23928,645,2490,19,-89.59,-97.05,24573,2509,-89.78960647865544,66.36,available,28,66.36,,0,0.0,100.0,60.0,54.5,41,ASI protected,High heritage protection with comparatively low visitor demand,54.49,42,"Natural Caven with inscription eladipattam, Sittannavasal",,unmatched,0.0,,,,,False,False
Hampi,Bellary Fort,28723,56,11069,9,-61.46,-83.93,28779,11078,-61.50665415754544,64.97,available,30,64.97,,0,0.0,100.0,60.0,53.73,42,ASI protected,High heritage protection with comparatively low visitor demand,53.56,44,Bellary Fort,,unmatched,0.0,,,,,False,False
Agra,Taj Mahal,4429710,645415,1259892,9034,-71.56,-98.6,5075125,1268926,-74.99714785350115,19.46,available,144,19.46,Taj Mahal,1,100.0,100.0,60.0,53.7,43,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand,60.04,24,Taj Mahal,Taj Mahal Palace,exact,1.0,18.9217,72.8332,"historical, palace",Tourist_Spots.csv,True,True
Jaipur,Deeg Bhawan,28510,1067,12772,30,-55.2,-97.19,29577,12802,-56.71636744767894,64.73,available,31,64.73,,0,0.0,100.0,60.0,53.6,44,ASI protected,High heritage protection with comparatively low visitor demand,53.54,45,Deeg Bhawan,Deeg Palace,fuzzy,0.88,27.472728535517163,77.32370678384974,,Destinations_delhi.csv,True,True
Tiruchirappalli,"Fort on Rock, Dindigual",24657,94,25603,99,3.84,5.32,24751,25702,3.8422689992323535,66.3,available,29,66.3,,0,0.0,100.0,40.0,53.46,45,ASI protected,High heritage protection with comparatively low visitor demand,53.99,43,"Fort on Rock, Dindigual",,unmatched,0.0,,,,,False,False
Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,30046,460,217,3,-99.28,-99.35,30506,220,-99.27883039402084,64.46,available,32,64.46,,0,0.0,100.0,60.0,53.45,46,ASI protected,High heritage protection with comparatively low visitor demand,53.47,46,Tirumalai Nayak's Palace Srivilliputhur,,unmatched,0.0,,,,,False,False
Bhopal,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",32578,4,12303,13,-62.24,225.0,32582,12316,-62.19998772328279,63.88,available,34,63.88,,0,0.0,100.0,60.0,53.13,47,ASI protected,High heritage protection with comparatively low visitor demand,52.81,48,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",,unmatched,0.0,,,,,False,False
Bhubaneswar,The Hill Containing Many Valuable Sculptures and Images Ratnagiri,34562,571,20616,20,-40.35,-96.5,35133,20636,-41.263199840605694,63.22,available,35,63.22,,0,0.0,100.0,60.0,52.77,48,ASI protected,High heritage protection with comparatively low visitor demand,52.68,49,The Hill Containing Many Valuable Sculptures and Images Ratnagiri,,unmatched,0.0,,,,,False,False
Tiruchirappalli,"Rock-cut Jain Temple, Sittannavasasl",31876,188,41791,235,31.1,25.0,32064,42026,31.069111776447105,64.02,available,33,64.02,,0,0.0,100.0,40.0,52.21,49,ASI protected,High heritage protection with comparatively low visitor demand,53.1,47,"Rock-cut Jain Temple, Sittannavasasl",,unmatched,0.0,,,,,False,False
Chandigarh,Sheikh Chilli's Tomb,39763,46,30292,75,-23.82,63.04,39809,30367,-23.71825466603029,62.12,available,36,62.12,,0,0.0,100.0,60.0,52.17,50,ASI protected,High heritage protection with comparatively low visitor demand,52.26,50,Sheikh Chilli's Tomb,,unmatched,0.0,,,,,False,False
