monument_name,city,state,latitude,longitude,domestic_visits,foreign_visits,historical_popularity,heritage_category
"Ruined Fort, kangra",Kangra,Himachal Pradesh,32.1023,76.2694,91306,1758,Medium,Fort
Rock-cut Temples and Sculptures,Masrur,Himachal Pradesh,32.0833,76.2833,73439,1709,Medium,Temple
"Palace Complex at Ramnagar, Distt. Udhampur",Udhampur,Jammu and Kashmir,32.9167,75.15,6610,0,Low,Palace
"Avantiswamin Temple, Avantipur, District Pulwama",Avantipora,Jammu and Kashmir,33.9167,75.0167,9939,32,Low,Temple
"Group of Temples at kiramchi, District Udhampur",Udhampur,Jammu and Kashmir,32.9,75.15,5731,4,Low,Temple
Amaravati mahastupa,Amaravati,Andhra Pradesh,16.573,80.358,8038,285,Low,Stupa/Buddhist Site
Undavalli caves,Undavalli,Andhra Pradesh,16.509,80.598,109307,494,High,Cave Monument
Nagarjuna Kunda,Nagarjunakonda,Andhra Pradesh,16.5333,79.2333,19762,35,Low,Archaeological Site
Chandragiri Monument,Chandragiri,Andhra Pradesh,13.5833,79.3167,103489,109,High,Fort
"Buddhist Remains on hill top at Guntupalli, W.G.District",Guntupalli,Andhra Pradesh,17.2667,81.1,22353,85,Low,Stupa/Buddhist Site
