circle,monument_name,domestic_2019_20,foreign_2019_20,domestic_2020_21,foreign_2020_21,domestic_growth_pct,foreign_growth_pct,total_visitors_2019_20,total_visitors_2020_21,total_growth_pct,monument_hiddenness_score,visitor_data_quality,hiddenness_rank
Raiganj,Cooch Bihar Palace,465553,52,126135,161,-72.91,209.62,465605,126296,-72.87486173902772,40.48,available,119
Agra,Mausoleum,474462,12536,91185,321,-80.78,-97.44,486998,91506,-81.21018977490667,40.08,available,120
Jodhpur,Kumbhalgarh Fort,495276,11208,203050,208,-59.0,-98.14,506484,203258,-59.86882112761707,39.74,available,121
Aurangabad,Daulatabad Fort,515935,5729,105434,49,-79.56,-99.14,521664,105483,-79.77951324990798,39.48,available,122
Jodhpur,Chittaurgarh Fort,565133,15188,223328,206,-60.48,-98.64,580321,223534,-61.48097346123955,38.54,available,123
Sarnath,Excavated Remains at sarnath,485309,100590,170590,384,-64.85,-99.62,585899,170974,-70.81851991554858,38.46,available,124
Hampi,"Group of Monuments, Hampi",587238,27006,273456,627,-53.43,-97.68,614244,274083,-55.378807118995056,38.04,available,125
Agra,Fatehpur Sikri,454376,184751,107835,574,-76.27,-99.69,639127,108409,-83.0379564624871,37.69,available,126
Banglore,Dariya Daulath Bagh,646560,14016,89006,306,-86.23,-97.82,660576,89312,-86.47967834132636,37.4,available,127
Delhi,Purana Qila,662300,5493,200846,936,-69.67,-82.96,667793,201782,-69.7837503537773,37.31,available,128
Raiganj,Hazarduari Palace,674113,1723,361546,649,-46.37,-62.33,675836,362195,-46.40785634384673,37.2,available,129
Mumbai,Elephanta Caves,686862,37891,82136,281,-88.04,-99.26,724753,82417,-88.62826369811508,36.59,available,130
Dharwad,"Gol Gumbaz, Vijayapura",813943,1683,283256,75,-65.2,-95.54,815626,283331,-65.26214220733523,35.55,available,131
Goa,Upper Fort Aguada,837898,8104,379726,340,-54.68,-95.8,846002,380066,-55.07504710390756,35.23,available,132
Delhi,Humayun Tomb,658318,202288,243836,2381,-62.96,-98.82,860606,246217,-71.3902761542448,35.07,available,133
Aurangabad,Tomb of Rabia Durani (Bibi ka Maqbara),1111778,9530,203791,100,-81.67,-98.95,1121308,203891,-81.81668194644112,32.75,available,134
Mumbai,Shaniwarwada,1128072,8505,160547,87,-85.77,-98.98,1136577,160634,-85.86686163805884,32.63,available,135
Hyderabad,Charminar,1151933,7803,297548,182,-74.17,-97.67,1159736,297730,-74.32777804603806,32.45,available,136
Aurangabad,Ellora Caves,1259261,21426,163313,159,-87.03,-99.26,1280687,163472,-87.23560089233357,31.58,available,137
Chennai,Group of Monuments Mamallapuram,1260358,53422,808145,29145,-35.88,-45.44,1313780,837290,-36.26862945089741,31.35,available,138
Hyderabad,Golconda,1630419,20572,527096,912,-67.67,-95.57,1650991,528008,-68.01872330012702,29.34,available,139
Bhubaneswar,"Sun Temple, Konark",1997427,5294,530886,142,-73.42,-97.32,2002721,531028,-73.48467410088575,27.64,available,140
Agra,Agra Fort,1627154,386522,371242,2810,-77.18,-99.27,2013676,374052,-81.42441981728938,27.6,available,141
Delhi,Red Fort,2200044,91364,187380,1438,-91.48,-98.43,2291408,188818,-91.75973899017548,26.46,available,142
Delhi,Qutub Minar,2048146,255318,476063,2849,-76.76,-98.88,2303464,478912,-79.20905210587185,26.41,available,143
Agra,Taj Mahal,4429710,645415,1259892,9034,-71.56,-98.6,5075125,1268926,-74.99714785350115,19.46,available,144
Grand Total,Grand Total,43607075,2756561,13153076,415859,-69.84,-84.91,46363636,13568935,-70.73366937830329,0.0,available,145
